"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Year >= 1995"",""Country = JAPAN""]"																																						
	1995	1	16	20	46	53.6	2236		"JAPAN:  SW HONSHU:  KOBE, AWAJI-SHIMA, NISHINOMIYA"	34.59	135.069	17	6.9	11	6434	4			43792	4	100000	4	186175	4	274182	4	6434	4			43792	4	100000	4	186175	4	274182	4
	1995	4	1	3	49	33.5			"JAPAN:  NIIGATA PREFECTURE, SADO"	37.925	139.186	11	5.4									2																
	1995	10	18	10	37	26.3	2253		"JAPAN:  RYUKU IS."	27.929	130.175	28	7.1						1	1											1	1		1				
	1995	10	19	2	41	36.1	2254		"JAPAN:  RYUKU IS."	28.094	130.148	20	6.8																									
	1996	9	4	18	16	1.9	2265	7539	"HONSHU ISLAND, JAPAN"	31.555	139.931	33	5.7																									
	1996	10	18	10	50	20.8	2267		"JAPAN:  KYUSHU ISLAND"	30.568	131.093	10	6.6																									
	1996	10	19	14	44	40.7	2268		"JAPAN:  KYUSHU ISLAND"	31.885	131.468	22	6.7									1												1				
	1996	12	2	22	17	59.2	2270		"JAPAN:  KYUSHU"	31.789	131.314	49	6.7																									
	1997	3	26	8	31	47.1			"JAPAN:  KYUSHU, KAGOSHIMA"	31.92	130.429	10	6.1	6								2																
	1997	9	30	6	27	24.7	3034		"JAPAN:  HONSHU:  S"	31.959	141.878	10	6.2																									
	1998	5	30	18	18	15	5742		"SANRIKU, JAPAN"	39.027	143.441	33	6.2																									
	2000	3	28	11	0	22.5			"JAPAN:  VOLCANO ISLANDS"	22.338	143.73	127	7.6																									
	2000	7	1	7	1	55.5	2340	5104	"JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA"	34.221	139.131	10	6.1		1	1				3		1					1	1				3		1				
	2000	7	15	1	30	30.5	3508		"JAPAN:  NEAR S COAST HONSHU:  NII-JIMA"	34.319	139.26	10	6.1						10	1		1			20	1					10	1		1			20	1
	2000	7	30	12	25	45.5	3509		"JAPAN:  HONSHU:  S"	33.901	139.376	10	6.5						1	1		1									1	1		1				
	2000	10	6	4	30	19.1			"JAPAN:  HONSHU:  W:  OKAYAMA, TOTTORI"	35.456	133.134	10	6.7	9					130	3	150	4	104	3	2230	4					130	3	150	4	104	3	2230	4
	2001	3	24	6	27	53.5			"JAPAN:  HIROSHIMA, OKAYAMA, HONSHU, KAGAMA"	34.083	132.526	50	6.8	9	2	1			161	3	500	4			3700	4	2	1			161	3	500	4			3700	4
	2002	3	26	3	45	48.7	2395		"JAPAN:  RYUKYU ISLANDS"	23.346	124.09	33	6.4																									
