ID;cliente;anio;mes;Total_desastres; total_gasto 
1;Banco BCI;2000;enero;2; $91.297 
2;Banco BCI;2000;febrero;4; $96.295 
3;Banco BCI;2000;marzo;5; $95.211 
4;Banco BCI;2000;abril;3; $7.352 
5;Banco BCI;2000;mayo;3; $30.915 
6;Banco BCI;2000;junio;3; $73.809 
7;Banco BCI;2000;julio;5; $97.672 
8;Banco BCI;2000;agosto;5; $80.180 
9;Banco BCI;2000;septiembre;1; $6.787 
10;Banco BCI;2000;octubre;2; $22.030 
11;Banco BCI;2000;noviembre;2; $31.487 
12;Banco BCI;2000;diciembre;5; $22.787 
13;Banco BCI;2001;enero;1; $66.686 
14;Banco BCI;2001;febrero;0; $- 
15;Banco BCI;2001;marzo;2; $32.377 
16;Banco BCI;2001;abril;5; $56.373 
17;Banco BCI;2001;mayo;4; $7.302 
18;Banco BCI;2001;junio;3; $95.081 
19;Banco BCI;2001;julio;0; $- 
20;Banco BCI;2001;agosto;4; $56.963 
21;Banco BCI;2001;septiembre;4; $17.487 
22;Banco BCI;2001;octubre;2; $57.640 
23;Banco BCI;2001;noviembre;1; $73.155 
24;Banco BCI;2001;diciembre;5; $86.372 
25;Banco BCI;2002;enero;1; $44.662 
26;Banco BCI;2002;febrero;4; $20.021 
27;Banco BCI;2002;marzo;2; $73.164 
28;Banco BCI;2002;abril;2; $98.442 
29;Banco BCI;2002;mayo;2; $56.217 
30;Banco BCI;2002;junio;2; $49.357 
31;Banco BCI;2002;julio;5; $46.537 
32;Banco BCI;2002;agosto;2; $79.236 
33;Banco BCI;2002;septiembre;2; $84.070 
34;Banco BCI;2002;octubre;0; $- 
35;Banco BCI;2002;noviembre;2; $83.624 
36;Banco BCI;2002;diciembre;0; $- 
37;Banco BCI;2003;enero;0; $- 
38;Banco BCI;2003;febrero;1; $34.131 
39;Banco BCI;2003;marzo;2; $46.091 
40;Banco BCI;2003;abril;3; $59.742 
41;Banco BCI;2003;mayo;1; $63.289 
42;Banco BCI;2003;junio;3; $75.763 
43;Banco BCI;2003;julio;0; $- 
44;Banco BCI;2003;agosto;0; $- 
45;Banco BCI;2003;septiembre;4; $6.996 
46;Banco BCI;2003;octubre;0; $- 
47;Banco BCI;2003;noviembre;5; $64.526 
48;Banco BCI;2003;diciembre;2; $23.401 
49;Banco BCI;2004;enero;3; $44.156 
50;Banco BCI;2004;febrero;1; $47.323 
51;Banco BCI;2004;marzo;3; $62.269 
52;Banco BCI;2004;abril;5; $88.220 
53;Banco BCI;2004;mayo;2; $70.162 
54;Banco BCI;2004;junio;2; $29.260 
55;Banco BCI;2004;julio;2; $10.552 
56;Banco BCI;2004;agosto;3; $10.544 
57;Banco BCI;2004;septiembre;4; $57.658 
58;Banco BCI;2004;octubre;2; $83.136 
59;Banco BCI;2004;noviembre;4; $83.647 
60;Banco BCI;2004;diciembre;3; $43.213 
61;Banco BCI;2005;enero;1; $67.847 
62;Banco BCI;2005;febrero;2; $70.507 
63;Banco BCI;2005;marzo;4; $8.174 
64;Banco BCI;2005;abril;4; $66.862 
65;Banco BCI;2005;mayo;2; $29.577 
66;Banco BCI;2005;junio;3; $90.923 
67;Banco BCI;2005;julio;3; $20.136 
68;Banco BCI;2005;agosto;2; $19.760 
69;Banco BCI;2005;septiembre;4; $84.225 
70;Banco BCI;2005;octubre;2; $17.804 
71;Banco BCI;2005;noviembre;3; $58.651 
72;Banco BCI;2005;diciembre;0; $- 
73;Banco BCI;2006;enero;5; $41.457 
74;Banco BCI;2006;febrero;2; $41.768 
75;Banco BCI;2006;marzo;1; $60.092 
76;Banco BCI;2006;abril;3; $60.373 
77;Banco BCI;2006;mayo;0; $- 
78;Banco BCI;2006;junio;2; $25.595 
79;Banco BCI;2006;julio;5; $94.755 
80;Banco BCI;2006;agosto;2; $90.145 
81;Banco BCI;2006;septiembre;3; $50.471 
82;Banco BCI;2006;octubre;3; $87.277 
83;Banco BCI;2006;noviembre;5; $44.198 
84;Banco BCI;2006;diciembre;3; $28.176 
85;Banco BCI;2007;enero;0; $- 
86;Banco BCI;2007;febrero;5; $17.634 
87;Banco BCI;2007;marzo;5; $72.106 
88;Banco BCI;2007;abril;0; $- 
89;Banco BCI;2007;mayo;3; $98.554 
90;Banco BCI;2007;junio;4; $64.872 
91;Banco BCI;2007;julio;4; $36.656 
92;Banco BCI;2007;agosto;2; $71.888 
93;Banco BCI;2007;septiembre;1; $78.083 
94;Banco BCI;2007;octubre;4; $9.823 
95;Banco BCI;2007;noviembre;4; $90.051 
96;Banco BCI;2007;diciembre;3; $68.799 
97;Banco BCI;2008;enero;3; $44.278 
98;Banco BCI;2008;febrero;5; $85.317 
99;Banco BCI;2008;marzo;4; $27.822 
100;Banco BCI;2008;abril;1; $85.797 
101;Banco BCI;2008;mayo;0; $- 
102;Banco BCI;2008;junio;5; $89.967 
103;Banco BCI;2008;julio;3; $42.322 
104;Banco BCI;2008;agosto;5; $72.498 
105;Banco BCI;2008;septiembre;2; $42.522 
106;Banco BCI;2008;octubre;1; $87.759 
107;Banco BCI;2008;noviembre;4; $72.191 
108;Banco BCI;2008;diciembre;3; $58.301 
109;Banco BCI;2009;enero;0; $- 
110;Banco BCI;2009;febrero;0; $- 
111;Banco BCI;2009;marzo;3; $33.404 
112;Banco BCI;2009;abril;1; $39.692 
113;Banco BCI;2009;mayo;1; $13.304 
114;Banco BCI;2009;junio;1; $15.451 
115;Banco BCI;2009;julio;4; $6.789 
116;Banco BCI;2009;agosto;0; $- 
117;Banco BCI;2009;septiembre;3; $89.945 
118;Banco BCI;2009;octubre;2; $5.135 
119;Banco BCI;2009;noviembre;1; $19.406 
120;Banco BCI;2009;diciembre;4; $76.130 
121;Banco BCI;2010;enero;1; $63.378 
122;Banco BCI;2010;febrero;1; $11.185 
123;Banco BCI;2010;marzo;3; $54.210 
124;Banco BCI;2010;abril;4; $89.258 
125;Banco BCI;2010;mayo;0; $- 
126;Banco BCI;2010;junio;5; $35.792 
127;Banco BCI;2010;julio;3; $6.907 
128;Banco BCI;2010;agosto;4; $54.609 
129;Banco BCI;2010;septiembre;4; $89.134 
130;Banco BCI;2010;octubre;5; $25.408 
131;Banco BCI;2010;noviembre;1; $68.953 
132;Banco BCI;2010;diciembre;3; $13.249 
133;Banco BCI;2011;enero;4; $17.717 
134;Banco BCI;2011;febrero;1; $57.492 
135;Banco BCI;2011;marzo;4; $98.534 
136;Banco BCI;2011;abril;5; $18.200 
137;Banco BCI;2011;mayo;3; $42.068 
138;Banco BCI;2011;junio;4; $82.175 
139;Banco BCI;2011;julio;3; $58.233 
140;Banco BCI;2011;agosto;3; $50.484 
141;Banco BCI;2011;septiembre;1; $14.612 
142;Banco BCI;2011;octubre;4; $68.429 
143;Banco BCI;2011;noviembre;1; $18.879 
144;Banco BCI;2011;diciembre;3; $81.388 
145;Banco BCI;2012;enero;0; $- 
146;Banco BCI;2012;febrero;2; $7.739 
147;Banco BCI;2012;marzo;0; $- 
148;Banco BCI;2012;abril;5; $17.236 
149;Banco BCI;2012;mayo;3; $24.458 
150;Banco BCI;2012;junio;0; $- 
151;Banco BCI;2012;julio;3; $49.740 
152;Banco BCI;2012;agosto;1; $59.351 
153;Banco BCI;2012;septiembre;0; $- 
154;Banco BCI;2012;octubre;5; $53.840 
155;Banco BCI;2012;noviembre;4; $94.838 
156;Banco BCI;2012;diciembre;1; $45.309 
157;Banco BCI;2013;enero;0; $- 
158;Banco BCI;2013;febrero;4; $39.934 
159;Banco BCI;2013;marzo;2; $30.820 
160;Banco BCI;2013;abril;2; $64.107 
161;Banco BCI;2013;mayo;0; $- 
162;Banco BCI;2013;junio;0; $- 
163;Banco BCI;2013;julio;4; $71.792 
164;Banco BCI;2013;agosto;5; $47.648 
165;Banco BCI;2013;septiembre;4; $87.744 
166;Banco BCI;2013;octubre;0; $- 
167;Banco BCI;2013;noviembre;2; $97.506 
168;Banco BCI;2013;diciembre;4; $67.809 
169;Banco BCI;2014;enero;3; $47.546 
170;Banco BCI;2014;febrero;5; $57.435 
171;Banco BCI;2014;marzo;1; $10.295 
172;Banco BCI;2014;abril;4; $22.776 
173;Banco BCI;2014;mayo;4; $77.822 
174;Banco BCI;2014;junio;0; $- 
175;Banco BCI;2014;julio;5; $62.963 
176;Banco BCI;2014;agosto;2; $86.226 
177;Banco BCI;2014;septiembre;1; $54.825 
178;Banco BCI;2014;octubre;2; $25.505 
179;Banco BCI;2014;noviembre;1; $69.649 
180;Banco BCI;2014;diciembre;0; $- 
181;Banco BCI;2015;enero;0; $- 
182;Banco BCI;2015;febrero;0; $- 
183;Banco BCI;2015;marzo;0; $- 
184;Banco BCI;2015;abril;3; $9.525 
185;Banco BCI;2015;mayo;1; $39.662 
186;Banco BCI;2015;junio;2; $10.614 
187;Banco BCI;2015;julio;5; $56.037 
188;Banco BCI;2015;agosto;1; $61.181 
189;Banco BCI;2015;septiembre;3; $12.719 
190;Banco BCI;2015;octubre;0; $- 
191;Banco BCI;2015;noviembre;5; $21.062 
192;Banco BCI;2015;diciembre;3; $89.833 
193;Banco BCI;2016;enero;3; $56.246 
194;Banco BCI;2016;febrero;0; $- 
195;Banco BCI;2016;marzo;0; $- 
196;Banco BCI;2016;abril;1; $76.323 
197;Banco BCI;2016;mayo;2; $52.543 
198;Banco BCI;2016;junio;3; $50.352 
199;Banco BCI;2016;julio;2; $40.974 
200;Banco BCI;2016;agosto;1; $23.074 
201;Banco BCI;2016;septiembre;0; $- 
202;Banco BCI;2016;octubre;2; $44.731 
203;Banco BCI;2016;noviembre;3; $24.416 
204;Banco BCI;2016;diciembre;5; $89.326 
205;Banco BCI;2017;enero;0; $- 
206;Banco BCI;2017;febrero;3; $30.354 
207;Banco BCI;2017;marzo;0; $- 
208;Banco BCI;2017;abril;2; $35.645 
209;Banco BCI;2017;mayo;2; $64.030 
210;Banco BCI;2017;junio;1; $39.949 
211;Banco BCI;2017;julio;3; $12.672 
212;Banco BCI;2017;agosto;0; $- 
213;Banco BCI;2017;septiembre;0; $- 
214;Banco BCI;2017;octubre;1; $33.733 
215;Banco BCI;2017;noviembre;5; $5.830 
216;Banco BCI;2017;diciembre;2; $86.432 
217;Banco BCI;2018;enero;1; $84.920 
218;Banco BCI;2018;febrero;1; $18.381 
219;Banco BCI;2018;marzo;0; $- 
220;Banco BCI;2018;abril;2; $66.757 
221;Banco BCI;2018;mayo;3; $10.704 
222;Banco BCI;2018;junio;1; $97.998 
223;Banco BCI;2018;julio;2; $73.001 
224;Banco BCI;2018;agosto;4; $40.488 
225;Banco BCI;2018;septiembre;3; $97.018 
226;Banco BCI;2018;octubre;2; $24.239 
227;Banco BCI;2018;noviembre;5; $16.377 
228;Banco BCI;2018;diciembre;0; $- 
229;Banco BCI;2019;enero;3; $84.098 
230;Banco BCI;2019;febrero;5; $39.052 
231;Banco BCI;2019;marzo;2; $6.141 
232;Banco BCI;2019;abril;2; $27.197 
233;Banco BCI;2019;mayo;3; $93.949 
234;Banco BCI;2019;junio;0; $- 
235;Banco BCI;2019;julio;2; $54.764 
236;Banco BCI;2019;agosto;4; $22.648 
237;Banco BCI;2019;septiembre;3; $73.366 
238;Banco BCI;2019;octubre;0; $- 
239;Banco BCI;2019;noviembre;1; $37.506 
240;Banco BCI;2019;diciembre;3; $27.289 
241;Banco BCI;2020;enero;4; $94.218 
242;Banco BCI;2020;febrero;4; $71.869 
243;Banco BCI;2020;marzo;2; $40.719 
244;Banco BCI;2020;abril;1; $84.092 
245;Banco BCI;2020;mayo;1; $6.130 
