Hora y dia del Sismo,Latitud,Longitud,Magnitud,Profundidad del Hipocentro,Lugar del Epicentro
2023/06/30 00:48,36.5,140.7,4.0,50km,Alta mar de Prefectura de Ibaraki
2023/06/29 22:20,24.8,124.2,3.8,80km,Mares cercanos de Isla Ishigaki
2023/06/29 20:01,28.4,129.5,3.1,30km,Mares cercanos de Islas de Amamioshima
2023/06/29 02:27,35.0,135.6,2.2,Poco profundo,Sur de Prefectura de Kioto
2023/06/28 17:22,44.9,142.1,3.0,10km,Norte de región Soya
2023/06/28 15:02,36.4,140.6,3.1,60km,Norte de Prefectura de Ibaraki
2023/06/28 14:25,42.3,142.8,3.4,30km,Este de región Hidaka
2023/06/28 13:27,35.7,141.4,4.3,10km,Alta mar este de Prefectura de Chiba
2023/06/28 12:08,35.7,141.5,4.8,10km,Alta mar este de Prefectura de Chiba
2023/06/28 08:39,42.1,134.4,6.2,480km,Norte de Mar de Japón
2023/06/28 00:55,37.5,137.4,3.3,10km,Alta mar de Península de Noto
2023/06/27 03:24,36.2,137.1,2.3,10km,"Región Hida, Prefectura de Gifu"
2023/06/26 01:49,39.1,142.1,3.4,50km,Alta mar de Prefectura de Iwate
2023/06/25 23:52,36.5,137.8,2.9,10km,Norte de Prefectura de Nagano
2023/06/25 18:18,37.5,141.4,3.8,50km,Alta mar de Prefectura de Fukushima
2023/06/25 17:46,40.2,142.0,3.7,60km,Alta mar de Prefectura de Iwate
2023/06/25 09:07,36.0,137.5,3.0,10km,"Región Hida, Prefectura de Gifu"
2023/06/24 22:50,36.5,137.8,2.5,10km,Norte de Prefectura de Nagano
2023/06/24 21:24,37.1,140.9,3.5,100km,"Hamadori, Prefectura de Fukushima"
2023/06/24 20:39,38.5,142.1,3.8,50km,Alta mar de Prefectura de Miyagi
2023/06/24 09:58,37.3,141.8,4.9,40km,Alta mar de Prefectura de Fukushima
2023/06/24 04:04,35.0,137.8,2.9,10km,Oeste de Prefectura de Shizuoka
2023/06/24 02:39,45.8,143.2,5.8,330km,Alta mar este de Soya
2023/06/24 00:43,25.3,141.7,4.9,120km,Mares cercanos de Isla Ioto
2023/06/23 20:07,36.5,137.9,1.8,10km,Norte de Prefectura de Nagano
2023/06/23 11:57,34.0,135.3,2.6,Poco profundo,Norte de Prefectura de Wakayama
2023/06/23 07:06,34.1,135.2,2.3,10km,Norte de Prefectura de Wakayama
2023/06/22 21:47,29.9,130.0,3.1,10km,Mares cercanos de Islas Tokara
2023/06/22 19:31,43.1,141.9,4.5,160km,Sur de región Sorachi
2023/06/22 18:31,36.7,140.9,3.7,40km,Alta mar de Prefectura de Ibaraki
2023/06/22 16:39,41.6,142.1,4.1,50km,Alta mar de Uraga
2023/06/22 10:24,26.4,127.9,5.2,40km,Mares cercanos de Isla principal de Okinawa
2023/06/22 01:07,29.9,130.0,3.0,10km,Mares cercanos de Islas Tokara
2023/06/21 17:46,35.6,139.9,3.4,70km,Bahía de Tokio
2023/06/21 15:55,37.5,137.2,3.0,10km,"Región Noto, Prefectura de Ishikawa"
2023/06/21 09:21,35.2,137.3,3.4,40km,Oeste de Prefectura de Aichi
2023/06/21 06:22,39.1,142.2,3.6,40km,Alta mar de Prefectura de Iwate
2023/06/21 06:17,35.1,137.1,3.2,40km,Oeste de Prefectura de Aichi
2023/06/21 01:10,39.1,140.9,3.3,10km,Interior sur de Prefectura de Iwate
2023/06/21 00:10,37.1,139.4,2.4,Poco profundo,"Aizu, Prefectura de Fukushima"
2023/06/20 20:10,36.5,137.8,3.9,10km,Norte de Prefectura de Nagano
2023/06/20 18:25,38.5,141.7,3.6,50km,Alta mar de Prefectura de Miyagi
2023/06/20 10:53,29.9,130.0,3.0,10km,Mares cercanos de Islas Tokara
2023/06/20 08:47,31.3,131.6,3.9,30km,Alta mar este de Península de Osumi
2023/06/20 08:44,35.9,139.6,3.8,60km,Sur de Prefectura de Saitama
2023/06/19 13:50,42.5,143.0,5.2,60km,Sur de región Tokachi
2023/06/19 10:39,29.9,130.1,3.0,10km,Mares cercanos de Islas Tokara
2023/06/19 10:32,34.7,139.3,2.9,10km,Mares cercanos de Isla de Izu-Oshima
2023/06/19 10:31,34.7,139.3,2.9,10km,Mares cercanos de Isla de Izu-Oshima
2023/06/19 10:26,34.7,139.3,2.3,10km,Mares cercanos de Isla de Izu-Oshima
2023/06/19 10:19,34.8,139.3,2.2,10km,Mares cercanos de Isla de Izu-Oshima
2023/06/19 09:44,34.8,139.3,2.6,10km,Mares cercanos de Isla de Izu-Oshima
2023/06/19 05:37,31.3,131.6,4.2,30km,Alta mar este de Península de Osumi
2023/06/19 04:59,37.1,139.4,2.5,10km,"Aizu, Prefectura de Fukushima"
2023/06/19 01:58,31.3,131.6,4.8,30km,Alta mar este de Península de Osumi
2023/06/19 00:53,34.8,139.3,2.7,10km,Mares cercanos de Isla de Izu-Oshima
2023/06/18 19:33,36.4,137.6,3.3,10km,Este de Prefectura de Toyama
2023/06/17 20:42,41.4,142.7,4.8,50km,Alta mar este de Prefectura de Aomori
2023/06/17 20:37,47.2,148.0,5.8,450km,Sur de Mar de Okhotsk (Ohotsuku)
2023/06/17 18:37,42.2,142.9,4.1,60km,Este de región Hidaka
2023/06/17 09:26,41.2,142.9,5.7,20km,Alta mar este de Prefectura de Aomori
2023/06/17 03:49,30.0,130.0,2.2,10km,Mares cercanos de Islas Tokara
2023/06/16 21:24,35.7,140.7,4.9,50km,Nodeste de Prefectura de Chiba
