Magnitud,Lugar,Fecha_Tiempo,Tipo_Magnitud,Tipo_Catastrofe,Longitud,Latitud,Profundidad
0.49,"6km SE of Redlands, CA",1970-01-20 01:27:50.347730,ml,earthquake,-117.1455,34.0148333,4.11
1.3,"22 km SSE of Goldfield, Nevada",1970-01-20 01:27:50.313160,ml,earthquake,-117.1221,37.5265,0.0
1.2,"60 km ESE of Knik River, Alaska",1970-01-20 01:27:50.288588,ml,ice quake,-147.8879,61.2275,0.0
1.7,"4km SE of Redlands, CA",1970-01-20 01:27:50.139470,ml,earthquake,-117.1563333,34.0286667,9.78
1.8,"4km SE of Redlands, CA",1970-01-20 01:27:50.125670,ml,earthquake,-117.1548333,34.0238333,10.18
1.7,"30 km SSE of Funny River, Alaska",1970-01-20 01:27:49.573279,ml,earthquake,-150.6521,60.2382,49.3
1.11,"9km S of Idyllwild, CA",1970-01-20 01:27:49.470860,ml,earthquake,-116.7055,33.6558333,16.78
4.3,"151 km NE of Lospalos, Timor Leste",1970-01-20 01:27:49.335764,mb,earthquake,127.9017,-7.4862,155.64
2.07999992,"4 km E of P?hala, Hawaii",1970-01-20 01:27:48.437180,md,earthquake,-155.435333251953,19.1966667175293,31.5400009155273
1.82000005,"3 km E of P?hala, Hawaii",1970-01-20 01:27:48.245760,md,earthquake,-155.448501586914,19.201000213623,35.8199996948242
4.3,"175 km NNE of Lospalos, Timor Leste",1970-01-20 01:27:48.108810,mb,earthquake,127.7899,-7.1471,244.07
1.9,"71 km S of Perryville, Alaska",1970-01-20 01:27:47.485820,ml,earthquake,-159.0627,55.273,13.8
1.82,"10km NW of Santa Paula, CA",1970-01-20 01:27:46.882720,ml,earthquake,-119.1313333,34.4251667,14.44
2.1,"30 km SSW of Denali National Park, Alaska",1970-01-20 01:27:46.604721,ml,earthquake,-151.9306,63.2846,5.3
1.04,"3km SSE of Home Gardens, CA",1970-01-20 01:27:45.743850,ml,quarry blast,-117.5138333,33.8525,-0.51
2.08,"16 km SSE of Sunnyside, Utah",1970-01-20 01:27:45.249000,md,earthquake,-110.3053333,39.4201667,-2.21
3.62,"102 km NNE of Punta Cana, Dominican Republic",1970-01-20 01:27:45.106960,md,earthquake,-68.0975,19.4613,26.0
2.6,"131 km SE of Perryville, Alaska",1970-01-20 01:27:44.950645,ml,earthquake,-157.8629,54.9784,24.6
1.6,"51 km NNE of Tanana, Alaska",1970-01-20 01:27:44.629745,ml,earthquake,-151.5586,65.5754,17.5
1.73,"21 km SSE of Princeton, Canada",1970-01-20 01:27:44.287480,ml,explosion,-120.39783333333334,49.277833333333334,-0.62
4.3,"249 km E of Levuka, Fiji",1970-01-20 01:27:44.072531,mb,earthquake,-178.3491,-17.7556,569.3
2.07999992,"2 km SE of P?hala, Hawaii",1970-01-20 01:27:43.903880,md,earthquake,-155.463333129883,19.1863327026367,30.2000007629395
